f_energy_wavnum,f_energy_Hz,channel,gf,fb,symbol,calsym,gf_f,fb_f
30656.09,919046457376922.0,1,-0.193467,-0.0944506,5p3P1,2o:0,0.0034854187451509,0.0002769040804197
43692.38,1309864599607004.0,2,3.81715,3.92728,5p1P1,2o:1,1.933786662809828,0.6823270438513985
58461.6,1752634676261280.0,3,0.0210146,-0.683924,6p3P1,2o:2,7.842189969473294e-05,0.027687869295753
59907.28,1795975072329423.8,4,-0.846665,7.91442,6p1P1,2o:3,0.1304449351133194,3.79945180059328
65025.5,1949415447767900.0,5,-0.0183439,0.0462948,7p3P1,2o:4,6.646476204947374e-05,0.0001411078827581
65501.41,1963682870636578.0,6,0.419344,-1.18625,7p1P1,2o:5,0.0349877424810365,0.0933267732628243
67842.06,2033853792318348.0,7,-0.0125871,0.00914649,8p3P1,2o:6,3.2649369373548816e-05,5.746601809334803e-06
68059.39,2040369181808062.0,8,0.257536,-0.463707,8p1P1,2o:7,0.0137116067737987,0.0148176218412469
69320.9,2078188300177220.0,9,0.00918134,-0.000953006,9p3P1,2o:8,1.775009732886679e-05,6.37468329570297e-08
69439.13,2081732746408154.5,10,0.180562,-0.254959,9p1P1,2o:9,0.0068767207622285,0.0045703358570092
70195.7,2104414144403060.0,11,-0.00701642,-0.0015988,10p3P1,2o:10,1.0497021106055424e-05,1.816778322175867e-07
70267.37,2106562756949544.8,12,0.136768,-0.166115,10p1P1,2o:11,0.0039925199664504,0.0019632452291535
